Lumes;v2.10;29.09.17-10:30:00
;Zeit-LTM;LTM;Zeit-Wind;WG;WR;Zeit-RF;RF;Zeit-NO2;NO2;Zeit-NOX;NOX;Zeit-PM10;PM10;PM10;Zeit-PM25;PM25;PM25;Zeit-O3;O3;O3;Zeit-SO2;SO2;Zeit-CO;CO;CO
;;HMW;;HMW;HMW;;HMW;;HMW;;HMW;;MW24;HMW;;MW24;HMW;;1MW;HMW;;HMW;;MW8;HMW
;MESZ;°C;MESZ;km/h;°;MESZ;%;MESZ;µg/m³;MESZ;µg/m³;MESZ;µg/m³;µg/m³;MESZ;µg/m³;µg/m³;MESZ;µg/m³;µg/m³;MESZ;µg/m³;MESZ;mg/m³;mg/m³
STEF;29.09.2017, 10:30;NE;29.09.2017, 10:30;NE;NE;29.09.2017, 10:30;NE;29.09.2017, 10:30;20,10;29.09.2017, 10:30;26,64;29.09.2017, 10:30;NE;NE;29.09.2017, 10:30;NE;NE;29.09.2017, 10:30;52,36;56,45;29.09.2017, 10:30;4,74;29.09.2017, 10:30;NE;NE
TAB;29.09.2017, 10:30;NE;29.09.2017, 10:30;4,10;245,51;29.09.2017, 10:30;NE;29.09.2017, 10:30;48,83;29.09.2017, 10:30;91,02;29.09.2017, 10:30;37,29;40,55;29.09.2017, 10:30;18,56;20,86;29.09.2017, 10:30;NE;NE;29.09.2017, 10:30;NE;29.09.2017, 10:30;0,35;0,30
AKA;29.09.2017, 10:30;14,13;29.09.2017, 10:30;11,60;148,64;29.09.2017, 10:30;62,80;29.09.2017, 10:30;NE;29.09.2017, 10:30;NE;29.09.2017, 10:30;NE;NE;29.09.2017, 10:30;NE;NE;29.09.2017, 10:30;NE;NE;29.09.2017, 10:30;NE;29.09.2017, 10:30;NE;NE
AKC;29.09.2017, 10:30;NE;29.09.2017, 10:30;NE;NE;29.09.2017, 10:30;NE;29.09.2017, 10:30;26,13;29.09.2017, 10:30;41,21;29.09.2017, 10:30;24,27;29,58;29.09.2017, 10:30;14,63;17,43;29.09.2017, 10:30;NE;NE;29.09.2017, 10:30;NE;29.09.2017, 10:30;NE;NE
BELG;29.09.2017, 10:30;NE;29.09.2017, 10:30;NE;NE;29.09.2017, 10:30;NE;29.09.2017, 10:30;31,11;29.09.2017, 10:30;51,09;29.09.2017, 10:30;29,91;37,73;29.09.2017, 10:30;NE;NE;29.09.2017, 10:30;NE;NE;29.09.2017, 10:30;NE;29.09.2017, 10:30;NE;NE
LAA;29.09.2017, 10:30;NE;29.09.2017, 10:30;5,03;130,17;29.09.2017, 10:30;NE;29.09.2017, 10:30;NE;29.09.2017, 10:30;NE;29.09.2017, 10:30;28,22;32,04;29.09.2017, 10:30;NE;NE;29.09.2017, 10:30;47,87;52,75;29.09.2017, 10:30;NE;29.09.2017, 10:30;NE;NE
KE;29.09.2017, 10:30;15,54;29.09.2017, 10:30;14,07;136,63;29.09.2017, 10:30;67,03;29.09.2017, 10:30;28,97;29.09.2017, 10:30;45,54;29.09.2017, 10:30;27,50;29,83;29.09.2017, 10:30;NE;NE;29.09.2017, 10:30;NE;NE;29.09.2017, 10:30;17,44;29.09.2017, 10:30;NE;NE
A23;29.09.2017, 10:30;NE;29.09.2017, 10:30;NE;NE;29.09.2017, 10:30;NE;29.09.2017, 10:30;35,05;29.09.2017, 10:30;56,02;29.09.2017, 10:30;30,56;35,76;29.09.2017, 10:30;15,90;18,63;29.09.2017, 10:30;NE;NE;29.09.2017, 10:30;6,69;29.09.2017, 10:30;0,30;0,27
